Rank	Prob.OfTerm
166	0.015595420535472821
167	0.015505273595961417
168	0.01532497971693861
169	0.015054538898404399
170	0.015054538898404399
171	0.014784098079870188
172	0.014603804200847382
173	0.01433336338231317
174	0.014243216442801767
175	0.014153069503290363
176	0.014153069503290363
177	0.01406292256377896
178	0.013882628684756152
179	0.013792481745244748
180	0.013792481745244748
181	0.013792481745244748
182	0.013702334805733345
183	0.013612187866221941
184	0.013612187866221941
185	0.013522040926710539
186	0.013431893987199135
187	0.013431893987199135
188	0.013431893987199135
189	0.013341747047687732
190	0.013341747047687732
191	0.013341747047687732
192	0.013251600108176328
193	0.013251600108176328
194	0.013161453168664924
195	0.012981159289642117
196	0.012981159289642117
197	0.012981159289642117
198	0.012891012350130713
199	0.012710718471107905
200	0.012710718471107905
201	0.012620571531596502
202	0.012530424592085098
203	0.012530424592085098
204	0.012440277652573694
205	0.012350130713062292
206	0.012259983773550889
207	0.012169836834039485
208	0.012169836834039485
209	0.011899396015505274
210	0.011899396015505274
211	0.01180924907599387
212	0.01180924907599387
213	0.011719102136482466
214	0.011719102136482466
215	0.011628955196971063
216	0.011538808257459659
217	0.011538808257459659
218	0.011538808257459659
219	0.011538808257459659
220	0.011448661317948255
221	0.011448661317948255
222	0.011448661317948255
223	0.011358514378436851
224	0.011268367438925448
225	0.011268367438925448
226	0.011268367438925448
227	0.011268367438925448
228	0.011178220499414046
229	0.011088073559902642
230	0.011088073559902642
231	0.010997926620391238
232	0.010997926620391238
233	0.010907779680879835
234	0.010907779680879835
235	0.010907779680879835
236	0.010907779680879835
237	0.01081763274136843
238	0.01081763274136843
239	0.010727485801857027
240	0.010727485801857027
241	0.010727485801857027
242	0.010637338862345623
243	0.010637338862345623
244	0.010637338862345623
245	0.01054719192283422
246	0.01054719192283422
247	0.01054719192283422
248	0.010457044983322816
249	0.010457044983322816
250	0.010366898043811412
251	0.010366898043811412
252	0.010366898043811412
253	0.010276751104300009
254	0.010276751104300009
255	0.010096457225277201
256	0.010096457225277201
257	0.010006310285765799
258	0.009916163346254395
259	0.009916163346254395
260	0.009916163346254395
261	0.009826016406742992
262	0.009735869467231588
263	0.009645722527720184
264	0.009645722527720184
265	0.009645722527720184
266	0.00955557558820878
267	0.00955557558820878
268	0.00955557558820878
269	0.00955557558820878
270	0.00955557558820878
271	0.00955557558820878
272	0.009465428648697377
273	0.009465428648697377
274	0.009375281709185973
275	0.009375281709185973
276	0.00928513476967457
277	0.00928513476967457
278	0.00928513476967457
279	0.009194987830163166
280	0.009194987830163166
281	0.009194987830163166
282	0.009194987830163166
283	0.009104840890651762
284	0.009104840890651762
285	0.009104840890651762
286	0.009104840890651762
287	0.009104840890651762
288	0.009014693951140358
289	0.009014693951140358
290	0.008924547011628954
291	0.008924547011628954
292	0.008834400072117552
293	0.008834400072117552
294	0.008834400072117552
295	0.008834400072117552
296	0.008744253132606149
297	0.008744253132606149
298	0.008744253132606149
299	0.008744253132606149
300	0.008744253132606149
301	0.008744253132606149
302	0.008654106193094745
303	0.008654106193094745
304	0.008654106193094745
305	0.008654106193094745
306	0.008654106193094745
307	0.008563959253583341
308	0.008563959253583341
